,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_coef0,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.021233749389648438,0.0066614619497810295,0.008384323120117188,0.0035743354655107438,1,0.01,auto,linear,"{'C': 1, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
1,0.038150787353515625,0.01441042074921954,0.019743061065673827,0.005554960060456509,1,0.01,auto,rbf,"{'C': 1, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.86,0.89,0.79,0.9,0.86,0.86,0.03847076812334268,36
2,0.05642933845520019,0.00816901776982091,0.016952896118164064,0.0036637844772147866,1,0.01,auto,sigmoid,"{'C': 1, 'coef0': 0.01, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.71,0.81,0.76,0.77,0.82,0.774,0.03929376540877701,42
3,0.03316011428833008,0.005732484186852809,0.009956264495849609,0.0007408471258542668,1,0.01,scale,linear,"{'C': 1, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
4,0.0525263786315918,0.008222219486748224,0.021460962295532227,0.004963220662685864,1,0.01,scale,rbf,"{'C': 1, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.89,0.92,0.81,0.92,0.89,0.8859999999999999,0.04029888335921976,13
5,0.07546253204345703,0.0177715207052305,0.01625404357910156,0.005290828817179726,1,0.01,scale,sigmoid,"{'C': 1, 'coef0': 0.01, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.41,0.47,0.34,0.42,0.36,0.4,0.046043457732885346,47
6,0.03302044868469238,0.009259890536171095,0.011138010025024413,0.0039043929012244167,1,10.0,auto,linear,"{'C': 1, 'coef0': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
7,0.05932307243347168,0.005965463786682497,0.031821584701538085,0.007571569495784516,1,10.0,auto,rbf,"{'C': 1, 'coef0': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.86,0.89,0.79,0.9,0.86,0.86,0.03847076812334268,36
8,0.07156620025634766,0.0079903479934733,0.013655662536621094,0.0003486484481632183,1,10.0,auto,sigmoid,"{'C': 1, 'coef0': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.13,0.14,0.13,0.13,0.13,0.132,0.0040000000000000036,49
9,0.039277267456054685,0.006969835394989563,0.014136028289794923,0.0022066946310402825,1,10.0,scale,linear,"{'C': 1, 'coef0': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
10,0.057562255859375,0.006305898793174011,0.024377155303955077,0.001145050131598848,1,10.0,scale,rbf,"{'C': 1, 'coef0': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.89,0.92,0.81,0.92,0.89,0.8859999999999999,0.04029888335921976,13
11,0.07843842506408691,0.004333261390432578,0.014498043060302734,0.002039895170206113,1,10.0,scale,sigmoid,"{'C': 1, 'coef0': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.13,0.14,0.13,0.13,0.13,0.132,0.0040000000000000036,49
12,0.03461275100708008,0.003033246752930623,0.010275602340698242,0.0018667574455090593,1,0.5,auto,linear,"{'C': 1, 'coef0': 0.5, 'gamma': 'auto', 'kernel': 'linear'}",0.87,0.91,0.83,0.91,0.86,0.876,0.03072458299147446,16
13,0.06529297828674316,0.006241021014282208,0.04153232574462891,0.0023848876749678425,1,0.5,auto,rbf,"{'C': 1, 'coef0': 0.5, 'gamma': 'auto', 'kernel': 'rbf'}",0.86,0.89,0.79,0.9,0.86,0.86,0.03847076812334268,36
